gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
136648,20061231,2006,INDL,C,D,STD,VC,USD,129.0000,A,8.4800
139804,20061231,2006,INDL,C,D,STD,TTMI,USD,42.0930,A,11.3300
144435,20061231,2006,INDL,C,D,STD,BG,USD,119.9560,A,72.5100
146017,20060831,2006,INDL,C,D,STD,AYI,USD,43.0630,A,52.0400
150937,20060630,2006,INDL,C,D,STD,STX,USD,575.9480,A,26.5000
156861,20061231,2006,INDL,C,D,STD,TPX,USD,83.2220,A,20.4600
160570,20061231,2006,INDL,C,D,STD,CVGI,USD,21.3690,A,21.8000
160684,20061231,2006,INDL,C,D,STD,WLK,USD,65.2690,A,31.3800
162264,20061231,2006,INDL,C,D,STD,NP,USD,14.8100,A,35.3200
162401,20061231,2006,INDL,C,D,STD,HUN,USD,220.6520,A,18.9700
163036,20061231,2006,INDL,C,D,STD,BLDR,USD,34.8320,A,17.8300
163113,20061231,2006,INDL,C,D,STD,KOP,USD,20.7300,A,26.0700
164494,20061231,2006,INDL,C,D,STD,SPR,USD,134.6970,A,33.4700
210418,20061231,2006,INDL,C,D,STD,ABB,USD,2178.9730,A,17.9800
233491,20061231,2006,INDL,C,D,STD,MX,USD,52.7210,A,
